Timestamp, RackID, Rack Flow, Rack Inlet P, Rack Outlet P, Rack Delta P, Cold Aisle Amb Temp, Rack Inlet Temp, Rack Outlet Temp
2026-04-28T13:27, Rack03, 121.74, 53.46, 33.95, -19.51, 32.01, 34.90
2026-04-28T13:27, Rack05, 134.37, 53.28, 25.91, -27.37, 32.40, 34.55
2026-04-28T13:28, Rack03, 136.20, 54.88, 30.67, -24.21, 32.00, 34.99
2026-04-28T13:28, Rack05, 138.79, 54.86, 25.79, -29.07, 32.37, 34.52
2026-04-28T13:29, Rack03, 128.60, 53.99, 31.51, -22.48, 32.01, 35.17
2026-04-28T13:29, Rack05, 131.36, 53.98, 27.86, -26.12, 32.30, 34.68
2026-04-28T13:30, Rack03, 130.87, 54.59, 31.26, -23.33, 31.77, 34.90
2026-04-28T13:30, Rack05, 130.30, 54.60, 28.28, -26.32, 32.20, 34.33
2026-04-28T13:40, Racki03, 0.00, 0.00, 0.00, 0, 0.00, 0.00
2026-04-28T13:40, Rack05, 130.19, 53.28, 27.30, -25.98, 32.21, 34.37
2026-04-28T13:40, Racki03, 0.00, 0.00, 0.00, 0, 0.00, 0.00
2026-04-28T13:40, Rack05, 132.93, 54.60, 28.16, -26.44, 32.24, 34.47
2026-04-28T13:41, Racki03, 0.00, 0.00, 0.00, 0, 0.00, 0.00
2026-04-28T13:41, Rack05, 133.17, 54.51, 27.98, -26.53, 32.36, 34.52
