Timestamp, RackID, Rack Flow, Rack Inlet P, Rack Outlet P, Rack Delta P, Cold Aisle Amb Temp, Rack Inlet Temp, Rack Outlet Temp
2026-05-01T00:02, Rack48, , , , 0, 32.8, , 
2026-05-01T00:03, Rack49, , , , 0, 33.6, , 
2026-05-01T00:03, Rack50, , , , 0, 29.5, , 33.23
2026-05-01T00:04, Rack51, 124.09, 48.09, 21.33, 26.76, 28.9, 32.73, 33.72
2026-05-01T00:05, Rack48, 119.92, 48.29, 25.30, 22.99, 33.1, 32.13, 34.00
2026-05-01T00:06, Rack49, 121.10, 47.85, 25.55, 22.3, 33.6, 31.66, 33.48
2026-05-01T00:06, Rack50, 113.57, 49.60, 21.98, 27.62, 32, 31.08, 32.63
2026-05-01T00:07, Rack51, 122.91, 48.12, 21.04, 27.08, 28.6, 32.17, 33.17
2026-05-01T00:08, Rack48, , , , 0, 33.2, , 
2026-05-01T00:09, Rack49, , , , 0, 33.1, , 
2026-05-01T00:10, Rack50, , , , 0, 28.5, , 
2026-05-01T00:10, Rack51, 122.80, 47.91, 21.30, 26.61, 30.2, 32.93, 34.14
2026-05-01T00:12, Rack48, , 48.38, 25.36, 23.02, 33.5, 32.26, 34.21
2026-05-01T00:13, Rack49, 121.85, 46.81, 24.52, 22.29, 28.7, , 
2026-05-01T00:13, Rack50, , , , 0, 31.5, , 
2026-05-01T00:14, Rack51, , , , 0, 32.8, , 
2026-05-01T00:16, Rack48, 120.06, 47.42, 24.57, 22.85, 28.9, , 
2026-05-01T00:17, Rack49, , , , 0, 32.2, 32.03, 33.92
2026-05-01T00:17, Rack50, 114.11, 49.43, 22.12, 27.31, 32.8, , 
2026-05-01T00:18, Rack51, , , , 0, 32.9, , 
2026-05-01T00:20, Rack48, , , , 0, 32.1, , 
2026-05-01T00:20, Rack49, , 47.63, 25.37, 22.26, 32.9, 32.24, 33.80
2026-05-01T00:21, Rack50, 113.55, 49.48, 22.00, 27.48, 33.5, 30.91, 32.06
2026-05-01T00:21, Rack51, 122.44, 48.23, 21.19, 27.04, 31.1, 31.57, 32.76
2026-05-01T00:23, Rack48, 120.15, 47.99, 25.11, 22.88, 32.5, , 
2026-05-01T00:24, Rack49, , , , 0, 33.6, 31.73, 33.71
2026-05-01T00:24, Rack50, 113.90, 49.37, 21.91, 27.46, 31.4, , 
2026-05-01T00:25, Rack51, , , , 0, 30.3, , 34.17
2026-05-01T00:27, Rack48, 120.56, 48.83, 25.78, 23.05, 33.5, 31.48, 33.31
2026-05-01T00:27, Rack49, 120.84, 47.78, 25.26, 22.52, 32.8, 32.00, 33.66
2026-05-01T00:28, Rack50, 114.60, 48.75, 21.04, 27.71, 29.4, , 
2026-05-01T00:28, Rack51, , , 21.33, 21.33, 31.1, 32.73, 34.21
2026-05-01T00:30, Rack48, 120.21, 48.16, 25.20, 22.96, 33, , 
2026-05-01T00:31, Rack49, , 46.84, 24.50, 22.34, 28.6, , 33.41
2026-05-01T00:32, Rack50, 113.39, 49.07, 21.65, 27.42, 32.3, 31.63, 33.09
2026-05-01T00:33, Rack51, 122.40, 48.46, 21.68, 26.78, 33, 30.45, 32.06
2026-05-01T00:34, Rack48, 119.88, 47.50, 24.62, 22.88, 30.5, 32.54, 34.20
2026-05-01T00:35, Rack49, 120.93, 46.78, 24.76, 22.02, 31.9, , 33.18
2026-05-01T00:36, Rack50, 113.89, 49.58, 21.86, 27.72, 32.4, 31.57, 32.92
2026-05-01T00:37, Rack51, 122.28, 47.65, 20.63, 27.02, 28.6, , 
2026-05-01T00:39, Rack48, , , , 0, 33.7, 32.51, 34.00
2026-05-01T00:39, Rack49, 121.23, 47.39, 25.04, 22.35, 32.8, 32.59, 34.33
2026-05-01T00:40, Rack50, 114.54, 48.79, 21.06, 27.73, 29.1, , 33.80
2026-05-01T00:41, Rack51, 123.04, 48.43, 21.59, 26.84, 32.6, , 
2026-05-01T00:43, Rack48, , 47.30, 24.69, 22.61, 30, , 
2026-05-01T00:44, Rack49, 121.45, 47.24, 25.08, 22.16, 32.6, 31.88, 33.72
2026-05-01T00:45, Rack50, 113.36, 49.37, 22.22, 27.15, 33.4, 30.42, 31.80
2026-05-01T00:45, Rack51, 123.05, 49.10, 22.10, 27, 33.5, , 
2026-05-01T00:47, Rack48, , , , 0, 32.1, , 
2026-05-01T00:48, Rack49, , 47.93, 25.55, 22.38, 33, , 
2026-05-01T00:48, Rack50, 113.51, 49.26, 21.73, 27.53, 32.7, , 
2026-05-01T00:49, Rack51, , , , 0, 29.2, 32.81, 33.87
