Timestamp, RackID, Rack Flow, Rack Inlet P, Rack Outlet P, Rack Delta P, Cold Aisle Amb Temp, Rack Inlet Temp, Rack Outlet Temp
2026-06-12T00:00, Rack46, 117.371, 51.8116340108649, 24.5516694134163, 27.26, 32, 31.85, 33.07
2026-06-12T00:00, Rack47, 113.864, 52.2984190929622, 24.9322468412379, 27.3662, 32.1, 31.87, 33.11
2026-06-12T00:00, Rack50, 115.532, 52.0594518708417, 14.3114814136605, 37.748, 32, 31.87, 32.65
2026-06-12T00:03, Rack46, 117.145, 51.3336995666239, 24.0560336934627, 27.2777, 31.9, 31.91, 33.19
2026-06-12T00:03, Rack47, 113.617, 51.6700238051639, 24.3038515534395, 27.3662, 32, 31.97, 33.21
2026-06-12T00:04, Rack50, 115.294, 51.5549655130318, 14.0105597265458, 37.5444, 31.9, 31.87, 32.78
2026-06-12T00:04, Rack51, 118.943, 52.2276139901117, 14.3645852407984, 37.863, 31.9, 31.83, 32.76
2026-06-12T00:05, Rack47, 114.114, 50.9796740523714, 23.923274125618, 27.0564, 31.9, 31.87, 33.13
2026-06-12T00:05, Rack50, 115.016, 51.1212842580724, 13.4795214551669, 37.6418, 31.9, 31.81, 32.72
2026-06-12T00:05, Rack51, 118.995, 51.4399072208997, 13.594579747299, 37.8453, 31.9, 31.79, 32.67
2026-06-12T00:08, Rack46, 116.76, 51.6257706158823, 24.1356894341696, 27.4901, 32, 31.91, 33.16
2026-06-12T00:08, Rack47, 114.001, 52.1391076115486, 24.5959226026979, 27.5432, 32, 31.93, 33.19
2026-06-12T00:08, Rack50, 114.685, 52.0328999572728, 14.0636635536837, 37.9692, 31.9, 31.85, 32.75
2026-06-12T00:08, Rack51, 118.556, 52.5550875907953, 14.4973448086431, 38.0577, 31.9, 31.83, 32.73
2026-06-12T00:09, Rack46, 117.141, 50.9177195873772, 23.3302813892449, 27.5874, 31.9, 31.89, 33.17
2026-06-12T00:09, Rack47, 113.691, 51.1920893609229, 23.8967222120491, 27.2954, 31.9, 31.91, 33.17
2026-06-12T00:09, Rack50, 115.324, 51.0681804309345, 13.3467618873222, 37.7214, 32, 31.86, 32.75
2026-06-12T00:09, Rack51, 119.126, 51.5018616858939, 13.5591771958738, 37.9427, 32, 31.85, 32.74
2026-06-12T00:12, Rack46, 117.63, 51.9886467679912, 24.3835072941464, 27.6051, 32, 31.97, 33.21
2026-06-12T00:12, Rack47, 114.018, 52.2187633522554, 24.9765000305194, 27.2423, 31.9, 31.95, 33.21
2026-06-12T00:15, Rack46, 117.607, 51.1920893609229, 23.8790209363364, 27.3131, 31.9, 31.82, 33.12
2026-06-12T00:15, Rack47, 114.343, 51.4841604101813, 24.2153451748764, 27.2688, 31.9, 31.81, 33.12
2026-06-12T00:15, Rack50, 115.891, 51.2363425502045, 13.5857291094427, 37.6506, 32, 31.75, 32.66
2026-06-12T00:15, Rack51, 119.265, 51.7054263565892, 13.8069950558506, 37.8984, 31.9, 31.71, 32.61
2026-06-12T00:16, Rack46, 117.226, 52.1568088872612, 24.6490264298358, 27.5078, 31.9, 31.96, 33.2
2026-06-12T00:16, Rack47, 113.489, 52.2453152658243, 24.9765000305194, 27.2688, 32, 31.93, 33.2
2026-06-12T00:16, Rack50, 114.994, 52.094854422267, 14.2583775865226, 37.8365, 31.9, 31.86, 32.78
2026-06-12T00:16, Rack51, 118.751, 52.2895684551059, 14.4442409815052, 37.8453, 31.9, 31.83, 32.74
2026-06-12T00:17, Rack51, 119.471, 53.1303790514558, 15.2053958371483, 37.925, 32.1, 31.84, 32.73
2026-06-12T00:19, Rack46, 117.158, 51.3425502044803, 23.7108588170665, 27.6317, 31.9, 31.93, 33.13
2026-06-12T00:19, Rack47, 113.129, 51.6877250808765, 24.3215528291522, 27.3662, 32, 31.97, 33.14
2026-06-12T00:19, Rack50, 115.415, 51.3868033937618, 13.7715925044253, 37.6152, 31.9, 31.91, 32.82
2026-06-12T00:19, Rack51, 118.82, 51.9974974058475, 14.07251419154, 37.925, 31.9, 31.87, 32.78
2026-06-12T00:20, Rack46, 117.512, 51.7408289080144, 24.1799426234511, 27.5609, 31.8, 31.9, 33.09
2026-06-12T00:20, Rack47, 114.111, 51.7054263565892, 24.3392541048648, 27.3662, 31.9, 31.85, 33.07
2026-06-12T00:20, Rack50, 115.534, 51.2717451016297, 13.594579747299, 37.6772, 31.9, 31.79, 32.7
2026-06-12T00:20, Rack51, 119.24, 51.5726667887444, 13.5326252823048, 38.04, 31.9, 31.73, 32.66
2026-06-12T00:24, Rack46, 117.173, 52.1745101629738, 24.7021302569737, 27.4724, 31.8, 32.16, 33.37
2026-06-12T00:24, Rack47, 114.242, 52.3249710065312, 24.9233962033816, 27.4016, 31.8, 32.14, 33.4
2026-06-12T00:24, Rack50, 116.023, 52.0860037844107, 14.214124397241, 37.8719, 31.9, 31.98, 32.93
2026-06-12T00:24, Rack51, 118.817, 52.0240493194165, 14.2495269486663, 37.7745, 31.9, 31.86, 32.85
2026-06-12T00:25, Rack46, 117.87, 51.7408289080144, 24.2684490020143, 27.4724, 32, 31.87, 33.12
2026-06-12T00:25, Rack47, 113.752, 52.1745101629738, 24.8702923762437, 27.3042, 31.8, 31.86, 33.11
2026-06-12T00:25, Rack50, 115.156, 51.9089910272844, 14.2318256729537, 37.6772, 31.9, 31.84, 32.66
2026-06-12T00:25, Rack51, 119.114, 52.3515229201001, 14.4707928950742, 37.8807, 31.8, 31.81, 32.62
2026-06-12T00:29, Rack46, 118.016, 51.7408289080144, 24.1710919855948, 27.5697, 32, 31.95, 33.17
2026-06-12T00:30, Rack47, 114.001, 51.6965757187328, 24.5162668619911, 27.1803, 31.9, 31.93, 33.19
2026-06-12T00:30, Rack50, 115.671, 51.5726667887444, 13.9574558994079, 37.6152, 31.9, 31.86, 32.76
2026-06-12T00:30, Rack51, 118.489, 51.8116340108649, 13.9132027101264, 37.8984, 31.8, 31.8, 32.72
2026-06-12T00:31, Rack46, 116.918, 52.0771531465544, 24.7729353598242, 27.3042, 32.1, 31.97, 33.17
2026-06-12T00:31, Rack47, 114.29, 52.4400292986632, 24.9942013062321, 27.4458, 32, 32.05, 33.24
2026-06-12T00:31, Rack50, 115.359, 52.2187633522554, 14.40883843008, 37.8099, 32, 32.03, 32.91
2026-06-12T00:31, Rack51, 118.845, 51.7408289080144, 13.8955014344137, 37.8453, 31.8, 31.92, 32.86
2026-06-12T00:34, Rack46, 116.956, 51.4576084966123, 24.0471830556064, 27.4104, 31.9, 31.76, 33.04
2026-06-12T00:35, Rack47, 114.718, 51.7408289080144, 24.6224745162669, 27.1184, 32, 31.8, 33.06
2026-06-12T00:36, Rack46, 117.271, 51.4222059451871, 24.0206311420375, 27.4016, 32, 31.92, 33.19
2026-06-12T00:37, Rack47, 113.562, 51.8824391137154, 24.6401757919795, 27.2423, 32.1, 31.95, 33.21
2026-06-12T00:37, Rack50, 115.795, 51.7939327351523, 14.1167673808216, 37.6772, 32.1, 31.91, 32.79
2026-06-12T00:37, Rack51, 118.347, 52.2276139901117, 14.40883843008, 37.8188, 32.1, 31.88, 32.75
2026-06-12T00:38, Rack50, 114.335, 51.2274919123482, 13.5680278337301, 37.6595, 31.9, 31.89, 32.8
2026-06-12T00:38, Rack51, 118.318, 51.7319782701581, 13.6034303851553, 38.1285, 31.9, 31.84, 32.78
2026-06-12T00:40, Rack46, 117.352, 51.5726667887444, 23.7197094549228, 27.853, 31.9, 31.83, 33.11
2026-06-12T00:41, Rack47, 113.327, 51.7408289080144, 24.4985655862785, 27.2423, 31.9, 31.86, 33.12
2026-06-12T00:41, Rack50, 115.171, 51.616919978026, 14.1344686565342, 37.4825, 31.9, 31.83, 32.72
2026-06-12T00:41, Rack51, 119.187, 52.3869254715254, 14.4176890679363, 37.9692, 31.9, 31.81, 32.7
2026-06-12T00:42, Rack46, 116.563, 51.0504791552219, 23.6843069034975, 27.3662, 32, 31.91, 33.19
2026-06-12T00:42, Rack47, 114.041, 51.2982970151987, 23.8878715741928, 27.4104, 32, 31.91, 33.2
2026-06-12T00:42, Rack50, 115.555, 51.0504791552219, 13.4087163523164, 37.6418, 31.9, 31.83, 32.74
2026-06-12T00:42, Rack51, 119.302, 51.3602514801929, 13.5326252823048, 37.8276, 32, 31.81, 32.72
2026-06-12T00:46, Rack47, 114.75, 51.4310565830434, 24.0029298663248, 27.4281, 31.9, 31.96, 33.25
2026-06-12T00:46, Rack50, 115.926, 51.0593297930782, 13.3290606116096, 37.7303, 31.9, 31.86, 32.8
2026-06-12T00:46, Rack51, 118.898, 51.4664591344687, 13.4795214551669, 37.9869, 31.9, 31.78, 32.71
2026-06-12T00:47, Rack46, 117.547, 51.9178416651407, 24.4366111212843, 27.4812, 32, 31.89, 33.14
2026-06-12T00:47, Rack47, 114.032, 52.1125556979796, 24.8083379112495, 27.3042, 31.9, 31.86, 33.13
2026-06-12T00:47, Rack50, 115.541, 51.7939327351523, 14.2672282243789, 37.5267, 31.9, 31.83, 32.73
